EmpireWarrior,Aventura,29111,71
GalaxyLast,Estrategia,35811,58
WarriorDragon,Estrategia,13233,95
GalaxyEmpire,RPG,8235,17
GalaxyGalaxy,Accion,26188,54
GalaxyDragon,Estrategia,25961,66
EmpireLast,Aventura,62738,21
GalaxyLast,Aventura,14680,89
WarriorEmpire,Estrategia,6470,65
WarriorWarrior,Estrategia,59438,39
LastLast,Accion,36662,72
DragonGalaxy,RPG,54931,33
GalaxyDragon,Aventura,22665,15
LegendLegend,Accion,29713,17
WarriorWarrior,Accion,54515,3
LegendEmpire,RPG,28292,25
GalaxyDragon,Accion,59791,64
WarriorLast,Accion,12214,54
LastLegend,Estrategia,69707,38
EmpireDragon,Aventura,10167,51
DragonLast,Simulacion,54390,47
GalaxyLast,Simulacion,4347,90
EmpireLast,Accion,8135,67
EmpireLast,RPG,33202,92
LegendDragon,Aventura,50945,21
EmpireEmpire,Simulacion,5739,54
LegendEmpire,RPG,22125,5
LegendWarrior,Simulacion,19032,82
GalaxyDragon,Accion,52331,48
DragonDragon,RPG,13848,66
EmpireWarrior,Estrategia,54543,61
EmpireDragon,RPG,37963,23
LastDragon,Aventura,45162,24
LegendWarrior,Aventura,39080,86
DragonEmpire,Aventura,58765,85
LegendEmpire,Aventura,24324,80
DragonDragon,Accion,560,76
GalaxyLast,Simulacion,61096,80
LastEmpire,Aventura,38750,95
LegendGalaxy,RPG,62463,76
DragonDragon,Aventura,55208,43
LegendEmpire,Simulacion,3036,88
EmpireLast,Accion,53143,83
LegendLast,Estrategia,33453,71
GalaxyDragon,Aventura,15042,89
LastLegend,Simulacion,37884,94
DragonWarrior,Estrategia,7982,9
LegendLegend,Estrategia,25780,16
GalaxyWarrior,Aventura,33696,79
EmpireEmpire,Aventura,59704,44
LastEmpire,Aventura,55577,37
DragonGalaxy,Aventura,42137,94
LastDragon,RPG,63770,59
GalaxyEmpire,Accion,19466,71
DragonLegend,Aventura,63871,46
LastGalaxy,Simulacion,35488,100
EmpireDragon,Aventura,28708,30
LastWarrior,Simulacion,36690,86
GalaxyEmpire,RPG,59754,56
EmpireGalaxy,Estrategia,60342,19
GalaxyWarrior,Accion,4537,70
EmpireDragon,RPG,35625,0
DragonGalaxy,RPG,57296,43
LegendEmpire,Simulacion,56381,76
EmpireLegend,Accion,59072,37
LegendLegend,Accion,57306,41
LastLegend,Accion,4339,62
DragonDragon,Aventura,53540,48
DragonWarrior,Simulacion,49349,59
LastEmpire,RPG,23213,61
GalaxyWarrior,Accion,15809,8
EmpireGalaxy,Simulacion,42274,34
WarriorEmpire,Estrategia,27326,97
WarriorLegend,RPG,32013,44
WarriorLegend,Accion,45735,9
LastDragon,Estrategia,56655,42
LastDragon,RPG,47716,77
GalaxyLegend,RPG,1116,95
LastLast,RPG,12043,40
GalaxyLast,Simulacion,66551,4
LegendGalaxy,RPG,6031,40
LastGalaxy,Estrategia,7527,6
GalaxyDragon,Aventura,53262,31
DragonLast,Estrategia,68608,16
DragonEmpire,Accion,45554,81
LastWarrior,Estrategia,29179,63
DragonEmpire,Aventura,63740,95
WarriorLegend,Aventura,17319,85
GalaxyLegend,Accion,53495,12
EmpireDragon,RPG,48550,45
LegendWarrior,RPG,4407,76
WarriorWarrior,Accion,55738,16
EmpireLast,Simulacion,43556,18
LegendEmpire,Aventura,31455,7
DragonWarrior,Estrategia,29483,45
LastEmpire,RPG,62739,25
GalaxyEmpire,Aventura,17554,94
LegendDragon,Simulacion,59192,22
LegendDragon,Aventura,34869,11
GalaxyLast,Simulacion,67355,62
LegendLast,Accion,65936,79
GalaxyDragon,Estrategia,23085,56
DragonEmpire,Accion,18563,44
DragonWarrior,Simulacion,3166,26
DragonEmpire,Simulacion,12985,41
DragonLast,Aventura,64812,32
GalaxyWarrior,RPG,28230,81
LastLast,Aventura,1003,36
DragonLegend,RPG,69655,13
WarriorDragon,Accion,25957,72
WarriorLegend,RPG,66646,59
EmpireLast,Accion,63209,11
LegendDragon,Estrategia,910,97
DragonGalaxy,Simulacion,65268,2
DragonEmpire,Simulacion,34676,100
LastGalaxy,Estrategia,66297,91
LastGalaxy,Estrategia,22189,57
LastDragon,Aventura,6092,9
DragonLegend,Accion,8228,17
LastWarrior,Simulacion,56238,43
EmpireWarrior,Aventura,554,37
WarriorWarrior,Simulacion,68553,96
WarriorGalaxy,Simulacion,42041,36
LegendLast,Aventura,69570,60
EmpireLast,Aventura,19292,98
EmpireEmpire,RPG,23884,44
EmpireGalaxy,Accion,28490,43
WarriorLegend,Estrategia,1654,90
WarriorGalaxy,Simulacion,58644,64
LastEmpire,Estrategia,29101,43
LegendLast,Aventura,27515,78
EmpireEmpire,Accion,47956,100
LegendDragon,Simulacion,60678,34
LegendLegend,Estrategia,8056,67
GalaxyWarrior,Accion,13736,80
LastEmpire,Aventura,49941,31
EmpireLegend,Accion,57727,55
LastLegend,Aventura,10264,21
LastEmpire,Aventura,22216,58
WarriorDragon,Accion,50570,59
DragonGalaxy,Accion,798,77
DragonDragon,RPG,46636,2
DragonGalaxy,Simulacion,56083,85
GalaxyDragon,Simulacion,38860,42
DragonWarrior,Simulacion,13397,80
GalaxyDragon,Aventura,45749,33
LastLegend,Aventura,24940,47
LastLegend,Estrategia,63750,84
EmpireWarrior,Estrategia,68139,21
DragonDragon,Estrategia,68074,84
EmpireLast,Estrategia,19866,100
LastGalaxy,Estrategia,54561,26
GalaxyWarrior,RPG,7638,76
WarriorDragon,Estrategia,65183,95
EmpireGalaxy,Aventura,50466,31
LegendGalaxy,RPG,3278,47
LastEmpire,Estrategia,31846,33
EmpireLast,Estrategia,17178,32
LastDragon,Estrategia,48657,79
EmpireDragon,RPG,60280,96
DragonLegend,RPG,37714,64
WarriorEmpire,Aventura,4822,1
LegendWarrior,Simulacion,17775,4
LegendLast,RPG,28871,26
WarriorLegend,RPG,14664,59
LegendGalaxy,Accion,7986,52
LastLast,Accion,68723,69
WarriorEmpire,Accion,32894,44
EmpireDragon,Estrategia,12137,17
WarriorWarrior,Aventura,29876,26
DragonWarrior,Accion,4866,34
LegendWarrior,Simulacion,35782,85
DragonLegend,Simulacion,64782,96
DragonWarrior,Aventura,12068,45
EmpireEmpire,Simulacion,50779,22
WarriorLast,RPG,34782,76
EmpireLast,RPG,65102,96
LegendDragon,Accion,4097,79
DragonGalaxy,Estrategia,19959,84
GalaxyGalaxy,Estrategia,34796,66
EmpireDragon,Estrategia,27050,74
GalaxyGalaxy,Simulacion,12865,60
GalaxyGalaxy,Aventura,34155,0
LastLast,Accion,25567,54
LastEmpire,Estrategia,29490,17
WarriorEmpire,Accion,66267,72
GalaxyWarrior,Estrategia,53063,32
GalaxyLegend,RPG,67370,2
DragonGalaxy,RPG,6166,72
EmpireEmpire,Simulacion,15312,53
LegendWarrior,Estrategia,117,28
WarriorEmpire,Simulacion,58421,45
GalaxyWarrior,Accion,59106,42
LastWarrior,Estrategia,36033,99
DragonWarrior,Estrategia,33448,93
GalaxyDragon,Estrategia,63921,77
WarriorLegend,Accion,50834,25
DragonLegend,Accion,49918,41
DragonLast,Accion,4896,56
GalaxyGalaxy,Simulacion,1985,98
WarriorDragon,Simulacion,26354,47
GalaxyWarrior,RPG,62187,42
WarriorEmpire,Aventura,17502,75
LegendGalaxy,RPG,15944,37
WarriorLegend,Aventura,63092,62
GalaxyWarrior,Accion,34836,29
WarriorGalaxy,Simulacion,57283,1
DragonLegend,Accion,60311,12
LastGalaxy,Accion,59687,71
EmpireLegend,RPG,11825,89
LegendDragon,Simulacion,19182,14
WarriorLegend,Simulacion,40618,69
LastWarrior,Aventura,48738,26
GalaxyWarrior,Accion,59517,92
